query,entrezgene,name,symbol,alias,taxid,MGI
ALDH1A2,19378,"aldehyde dehydrogenase family 1, subfamily A2",Aldh1a2,"AV116159, Aldh1a7, Raldh1, Raldh2",10090,MGI:107928
ALDH3B1,67689,"aldehyde dehydrogenase 3 family, member B1",Aldh3b1,"1700001N19Rik, ALDH4, ALDH7",10090,MGI:1914939
ALDOA,11674,"aldolase A, fructose-bisphosphate",Aldoa,"Aldo-1, Aldo1",10090,MGI:87994
ALDOC,11676,"aldolase C, fructose-bisphosphate",Aldoc,"AI847350, AU040929, Aldo3, Scrg2",10090,MGI:101863
ALG12,223774,"asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase)",Alg12,ECM39,10090,MGI:2385025
ALOX5AP,11690,arachidonate 5-lipoxygenase activating protein,Alox5ap,Flap,10090,MGI:107505
ALPPL2,11650,"alkaline phosphatase, placental-like 2",Alppl2,"Akp5, Alpg, C77216, D1Ertd816e, EAP",10090,MGI:108009
ALS2CL,235633,ALS2 C-terminal like,Als2cl,"79H19D, 79H19E, BC022645, D930044G19Rik, mRn.49018",10090,MGI:2447532
ALYREF,21681,Aly/REF export factor,Alyref,"Aly, Ref1, Ref1-I, Refbp1, Tho4",10090,MGI:1341044
AMDHD2,245847,amidohydrolase domain containing 2,Amdhd2,5730457F11Rik,10090,MGI:2443978
AMIGO2,105827,adhesion molecule with Ig like domain 2,Amigo2,"AI415330, AMIGO-2, AW208913, Ali1",10090,MGI:2145995
AMPD2,109674,adenosine monophosphate deaminase 2,Ampd2,"1200014F01Rik, AI552571, Ampd-2, m4521Dajl",10090,MGI:88016
AMPD3,11717,adenosine monophosphate deaminase 3,Ampd3,,10090,MGI:1096344
AMZ1,231842,archaelysin family metallopeptidase 1,Amz1,"5330426I05, 6530401C20Rik",10090,MGI:2442258
ANAPC11,66156,anaphase promoting complex subunit 11,Anapc11,"1110011I19Rik, R75218",10090,MGI:1913406
ANAPC13,69010,anaphase promoting complex subunit 13,Anapc13,"1810004D07Rik, APC13, SWM1",10090,MGI:1916260
ANGPT1,11600,angiopoietin 1,Angpt1,"1110046O21Rik, Ang-1, Ang1",10090,MGI:108448
ANGPTL2,26360,angiopoietin-like 2,Angptl2,"AI593246, AW260363, Arp2",10090,MGI:1347002
ANGPTL4,57875,angiopoietin-like 4,Angptl4,"Arp4, Bk89, Fiaf, Hfarp, Ng27",10090,MGI:1888999
ANGPTL7,654812,angiopoietin-like 7,Angptl7,,10090,MGI:3605801
GM6484,624219,angiopoietin-like 8,Angptl8,"EG624219, Gm6484, Rifl",10090,MGI:3643534
ANK,11732,progressive ankylosis,Ank,"Ankh, D15Ertd221e, ank, mKIAA1581",10090,MGI:3045421
ANK1,11733,"ankyrin 1, erythroid",Ank1,"Ank-1, nb, pale",10090,MGI:88024
ANKLE1,234396,ankyrin repeat and LEM domain containing 1,Ankle1,"8430438L13Rik, Ankrd41, C430003I23, Lem3",10090,MGI:1918775
ANKRD13D,68423,"ankyrin repeat domain 13 family, member D",Ankrd13d,"0710001P18Rik, AI430801",10090,MGI:1915673
ANKRD2,56642,ankyrin repeat domain 2 (stretch responsive muscle),Ankrd2,Arpp,10090,MGI:1861447
ANKRD35,213121,ankyrin repeat domain 35,Ankrd35,4732436F15Rik,10090,MGI:2442590
ANKRD37,654824,ankyrin repeat domain 37,Ankrd37,,10090,MGI:3603344
ANKRD54,223690,ankyrin repeat domain 54,Ankrd54,"C730048E16Rik, EST1068184, EST475269, Liar",10090,MGI:2444209
ANLN,68743,"anillin, actin binding protein",Anln,"1110037A17Rik, 2900037I21Rik, C78101, Scraps",10090,MGI:1920174
ANO6,105722,anoctamin 6,Ano6,"2900059G15Rik, AA407480, AW554778, F730003B03Rik, Tmem16f",10090,MGI:2145890
ANP32B,67628,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",Anp32b,"2410015B15Rik, PAL31, PHAPI2a, Ssp29",10090,MGI:1914878
ANXA1,16952,annexin A1,Anxa1,"Anx-1, Anx-A1, C430014K04Rik, Lpc-1, Lpc1",10090,MGI:96819
AOX4,71872,aldehyde oxidase 4,Aox4,"2310003G12Rik, Aoh2",10090,MGI:1919122
AP2A1,11771,"adaptor-related protein complex 2, alpha 1 subunit",Ap2a1,Adtaa,10090,MGI:101921
AP2A2,11772,"adaptor-related protein complex 2, alpha 2 subunit",Ap2a2,"2410074K14Rik, AF006990, AW146353, Adtab, C78001",10090,MGI:101920
AP2S1,232910,"adaptor-related protein complex 2, sigma 1 subunit",Ap2s1,AI043088,10090,MGI:2141861
AP5B1,381201,"adaptor-related protein complex 5, beta 1 subunit",Ap5b1,"Gm962, beta-5",10090,MGI:2685808
APBA1,319924,"amyloid beta (A4) precursor protein binding, family A, member 1",Apba1,"6430513E09Rik, Lin-10, Mint, Mint1, Urop11",10090,MGI:1860297
APBB1,11785,"amyloid beta (A4) precursor protein-binding, family B, member 1",Apbb1,"Fe65, Rir",10090,MGI:107765
APC2,23805,APC regulator of WNT signaling pathway 2,Apc2,"AI852447, APCL, R75424",10090,MGI:1346052
APCDD1,494504,adenomatosis polyposis coli down-regulated 1,Apcdd1,"AB023957, AU041258, Drapc1, EIG180",10090,MGI:3513977
APEX1,11792,apurinic/apyrimidinic endonuclease 1,Apex1,"APE, Apex, HAP1, Ref-1",10090,MGI:88042
APH1A,226548,"aph1 homolog A, gamma secretase subunit",Aph1a,"6530402N02Rik, APH-1a",10090,MGI:2385110
APLN,30878,apelin,Apln,"6030430G11Rik, Apel",10090,MGI:1353624
APLP1,11803,amyloid beta (A4) precursor-like protein 1,Aplp1,,10090,MGI:88046
APOBR,171504,apolipoprotein B receptor,Apobr,"Apob-48r, Apob48r",10090,MGI:2176230
APOL10B,328561,apolipoprotein L 10B,Apol10b,9130218O11Rik,10090,MGI:3043522
APOL7A,75761,apolipoprotein L 7a,Apol7a,"9130022K13Rik, Apol3",10090,MGI:1923011
APOL9A,223672,apolipoprotein L 9a,Apol9a,,10090,MGI:3606001
APRT,11821,adenine phosphoribosyl transferase,Aprt,C85684,10090,MGI:88061
AQP1,11826,aquaporin 1,Aqp1,CHIP28,10090,MGI:103201
AQP2,11827,aquaporin 2,Aqp2,"AQP-CD, WCH-CD, cph, jpk",10090,MGI:1096865
AQP3,11828,aquaporin 3,Aqp3,AQP-2,10090,MGI:1333777
AQP5,11830,aquaporin 5,Aqp5,,10090,MGI:106215
ARAP1,69710,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",Arap1,"2410002L19Rik, Centd2, mKIAA0782",10090,MGI:1916960
ARC,11838,activity regulated cytoskeletal-associated protein,Arc,"Arc3.1, C86064, arg3.1, mArc",10090,MGI:88067
ARF3,11842,ADP-ribosylation factor 3,Arf3,"5430400P17Rik, AI854770",10090,MGI:99432
ARF5,11844,ADP-ribosylation factor 5,Arf5,,10090,MGI:99434
ARF6,11845,ADP-ribosylation factor 6,Arf6,"AI788669, AW496366",10090,MGI:99435
ARFGAP3,66251,ADP-ribosylation factor GTPase activating protein 3,Arfgap3,"0610009H19Rik, 1810004P07Rik, 1810035F16Rik, 9130416J18Rik, Arfgap1",10090,MGI:1913501
ARHGAP10,78514,Rho GTPase activating protein 10,Arhgap10,"A930033B01Rik, PS-GAP, PSGAP, PSGAP-m, PSGAP-s",10090,MGI:1925764
ARHGAP22,239027,Rho GTPase activating protein 22,Arhgap22,"B230341L19Rik, RHOGAP2, p68RacGAP",10090,MGI:2443418
ARHGAP23,58996,Rho GTPase activating protein 23,Arhgap23,A330041B18Rik,10090,MGI:3697726
ARHGAP27,544817,Rho GTPase activating protein 27,Arhgap27,"2310069I04Rik, 5730442P18Rik, Gm21552, Sh3d20",10090,MGI:1916903
ARHGAP31,12549,Rho GTPase activating protein 31,Arhgap31,"5830477L08Rik, AU041750, Cdgap, D330026I07Rik",10090,MGI:1333857
ARHGAP33,233071,Rho GTPase activating protein 33,Arhgap33,"AW324378, NOMA-GAP, Snx26, TCGAP",10090,MGI:2673998
ARHGAP8,73167,Rho GTPase activating protein 8,Arhgap8,3110043J09Rik,10090,MGI:1920417
ARHGDIA,192662,Rho GDP dissociation inhibitor (GDI) alpha,Arhgdia,"5330430M07Rik, Gdi-1, Rho GDI alpha, Rho-GDI, RhoDGI",10090,MGI:2178103
ARHGEF1,16801,Rho guanine nucleotide exchange factor (GEF) 1,Arhgef1,"Lbcl2, Lsc",10090,MGI:1353510
ARHGEF19,213649,Rho guanine nucleotide exchange factor (GEF) 19,Arhgef19,"6030432F23, 6430573B13Rik, WGEF",10090,MGI:1925912
ARHGEF25,52666,Rho guanine nucleotide exchange factor (GEF) 25,Arhgef25,"2410008H17Rik, D10Ertd610e, GEFT",10090,MGI:1277173
ARHGEF3,71704,Rho guanine nucleotide exchange factor (GEF) 3,Arhgef3,"1200004I24Rik, 9830169H03Rik, C76747, Xpln",10090,MGI:1918954
ARHGEF39,230098,Rho guanine nucleotide exchange factor (GEF) 39,Arhgef39,E130306D19Rik,10090,MGI:3036286
ARHGEF40,268739,Rho guanine nucleotide exchange factor (GEF) 40,Arhgef40,"E130112L23Rik, Gm669, Solo",10090,MGI:2685515
ARID1B,239985,AT rich interactive domain 1B (SWI-like),Arid1b,"8030481M12, 9330189K18Rik, AI836955, Ardi1b, B230217J03Rik",10090,MGI:1926129
ARID2,77044,"AT rich interactive domain 2 (ARID, RFX-like)",Arid2,"1700124K17Rik, 4432409D24Rik, BAF200, zipzap/p200",10090,MGI:1924294
ARID5A,214855,AT rich interactive domain 5A (MRF1-like),Arid5a,"D430024K22Rik, Mrf1",10090,MGI:2443039
ARL2,56327,ADP-ribosylation factor-like 2,Arl2,"2610009M23Rik, AI115441, AW553335",10090,MGI:1928393
ARL4C,320982,ADP-ribosylation factor-like 4C,Arl4c,"A630084M22Rik, Arl7, LAK",10090,MGI:2445172
ARMC5,233912,armadillo repeat containing 5,Armc5,"AW049683, BC032200",10090,MGI:2384586
ARMCX2,67416,"armadillo repeat containing, X-linked 2",Armcx2,"3230401N03Rik, AI043003, ALEX2",10090,MGI:1914666
ARNTL,11865,aryl hydrocarbon receptor nuclear translocator-like,Arntl,"Arnt3, BMAL1b, Bmal1, MOP3, bHLHe5",10090,MGI:1096381
ARPC1B,11867,"actin related protein 2/3 complex, subunit 1B",Arpc1b,"41kDa, AA408064, AA408534, AA571392, AF007010",10090,MGI:1343142
ARRB1,109689,"arrestin, beta 1",Arrb1,"1200006I17Rik, AW208571, G430100A01Rik",10090,MGI:99473
ARRB2,216869,"arrestin, beta 2",Arrb2,"AI326910, AW122872, Arr3",10090,MGI:99474
ARRDC4,66412,arrestin domain containing 4,Arrdc4,"2410003C09Rik, AV216361",10090,MGI:1913662
ARSA,11883,arylsulfatase A,Arsa,"AS-A, ASA, AW212749, As-2, As2",10090,MGI:88077
ARSB,11881,arylsulfatase B,Arsb,"1110007C02Rik, AI480648, As-1, As-1r, As-1s",10090,MGI:88075
ASAP1,13196,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1",Asap1,"AV239055, DEF-1, Ddef1, PAP, mKIAA1249",10090,MGI:1342335
ASB8,78541,ankyrin repeat and SOCS box-containing 8,Asb8,"4930539L19Rik, AI788835, C430011H06Rik",10090,MGI:1925791
ASF1B,66929,anti-silencing function 1B histone chaperone,Asf1b,"1700003K02Rik, AA409591",10090,MGI:1914179
ASIC1,11419,acid-sensing (proton-gated) ion channel 1,Asic1,"AI843610, ASIC, ASIC1a, ASIC1b, Accn2",10090,MGI:1194915
ASPG,104816,asparaginase,Aspg,"A530050D06Rik, AI429460, Gm690",10090,MGI:2144822
ASPM,12316,abnormal spindle microtubule assembly,Aspm,"Calmbp1, D330028K02Rik, MCPH5, Sha1",10090,MGI:1334448
ASS1,11898,argininosuccinate synthetase 1,Ass1,"AA408052, ASS, Ass-1, fold",10090,MGI:88090
ATAD2,70472,"ATPase family, AAA domain containing 2",Atad2,2610509G12Rik,10090,MGI:1917722
ATF1,11908,activating transcription factor 1,Atf1,,10090,MGI:1298366
ATF4,11911,activating transcription factor 4,Atf4,"Atf-4, C/ATF, CREB-2, CREB2, TAXREB67",10090,MGI:88096
ATF7,223922,activating transcription factor 7,Atf7,"1110012F10Rik, 9430065F09Rik, AI549878, C130020M04Rik",10090,MGI:2443472
ATG101,68118,autophagy related 101,Atg101,"9430023L20Rik, AA407441, AU022967",10090,MGI:1915368
ATG9B,213948,autophagy related 9B,Atg9b,"Apg912, Apg9l2, Apgdc2, Gm574, Nos3as",10090,MGI:2685420
ATP11A,50770,"ATPase, class VI, type 11A",Atp11a,"4930558F19Rik, AU040868, Atpc1h, Ih",10090,MGI:1354735
ATP1A1,11928,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",Atp1a1,"Atpa-1, BC010319",10090,MGI:88105
ATP1A2,98660,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",Atp1a2,"AW060654, Atpa-3, mKIAA0778",10090,MGI:88106
ATP1A3,232975,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",Atp1a3,Atpa-2,10090,MGI:88107
ATP2B1,67972,"ATPase, Ca++ transporting, plasma membrane 1",Atp2b1,"2810442I22Rik, E130111D10Rik, Pmca1",10090,MGI:104653
ATP2C2,69047,"ATPase, Ca++ transporting, type 2C, member 2",Atp2c2,"1810010G06Rik, Spca2, mKIAA0703",10090,MGI:1916297
ATP5G2,67942,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)",Atp5g2,"1810041M08Rik, Atp5mc2",10090,MGI:1915192
ATP6V0A1,11975,"ATPase, H+ transporting, lysosomal V0 subunit A1",Atp6v0a1,"AA959968, ATP6a1, Atp6n1, Atp6n1a, Atpv0a1",10090,MGI:103286
ATP6V0C,11984,"ATPase, H+ transporting, lysosomal V0 subunit C",Atp6v0c,"Atp6c, Atp6c2, Atp6l, Atpl, Atpl-rs1",10090,MGI:88116
ATP6V1G1,66290,"ATPase, H+ transporting, lysosomal V1 subunit G1",Atp6v1g1,"1810024D14Rik, AA960677, ATP6J, Atp6g1, VAG1",10090,MGI:1913540
ATP8B2,54667,"ATPase, class I, type 8B, member 2",Atp8b2,Id,10090,MGI:1859660
ATP9A,11981,"ATPase, class II, type 9A",Atp9a,IIa,10090,MGI:1330826
ATRNL1,226255,attractin like 1,Atrnl1,"AI504415, AW555641, Alp, Atrnl, Atrnlp",10090,MGI:2147749
ATXN10,54138,ataxin 10,Atxn10,"AI325283, C77170, E46, Sca10, TEG-169",10090,MGI:1859293
ATXN2L,233871,ataxin 2-like,Atxn2l,"A2D, A2LG, A2RP, A2lp, Atxnl2",10090,MGI:2446242
ATXN7L2,72522,ataxin 7-like 2,Atxn7l2,2610528J18Rik,10090,MGI:1919772
ATXN7L3,217218,ataxin 7-like 3,Atxn7l3,E030022H21Rik,10090,MGI:3036270
AURKB,20877,aurora kinase B,Aurkb,"AIM-1, AIRK2, AL022959, Aik2, Aim1",10090,MGI:107168
AVPI1,69534,arginine vasopressin-induced 1,Avpi1,"2310008N12Rik, AA410041, VIT32, esu, mVIT32",10090,MGI:1916784
AXIN1,12005,axin 1,Axin1,"AI316800, Axin, Fu, Kb, Ki",10090,MGI:1096327
AXIN2,12006,axin 2,Axin2,"Axi1, Axil, Conductin",10090,MGI:1270862
B3GALT4,54218,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4",B3galt4,"Gal-T2, Galt2",10090,MGI:1859517
B3GNT9,97440,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",B3gnt9,"3-Gn-T9, B3gnt9-ps, BGnT-9, C76565, C76566",10090,MGI:2142841
B4GALNT4,330671,"beta-1,4-N-acetyl-galactosaminyl transferase 4",B4galnt4,"Gm1095, NGalNAc-T1, beta4GalNAcT4",10090,MGI:2652891
B4GALT1,14595,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",B4galt1,"B-1, 4-GalT, B-1, 4-GalT1, GalT",10090,MGI:95705
B4GALT3,57370,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",B4galt3,"9530061M23Rik, AA104562, AW125175, ESTM26, ESTM6",10090,MGI:1928767
B3GNT1,108902,"beta-1,4-glucuronyltransferase 1",B4gat1,"1500032M01Rik, B3gnt1, B3gnt6, BETA3GNT1, iGAT",10090,MGI:1919680
B9D2,232987,B9 protein domain 2,B9d2,stumpy,10090,MGI:2387643
BACE1,23821,beta-site APP cleaving enzyme 1,Bace1,"ASP2, Bace, C76936",10090,MGI:1346542
BAD,12015,BCL2-associated agonist of cell death,Bad,"AI325008, Bbc2",10090,MGI:1096330
BAG3,29810,BCL2-associated athanogene 3,Bag3,"AA407278, Bis, mg638",10090,MGI:1352493
