gene_id,KO_3D1,KO_3D2,KO_3D3,WT_3D1,WT_3D2,WT_3D3,KO_3D,WT_3D,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,KO_3D1_count,KO_3D2_count,KO_3D3_count,WT_3D1_count,WT_3D2_count,WT_3D3_count,KO_3D1_fpkm,KO_3D2_fpkm,KO_3D3_fpkm,WT_3D1_fpkm,WT_3D2_fpkm,WT_3D3_fpkm
ENSMUSG00000029999,563.016963,651.7705281,670.1350074,125.6212925,106.2971924,102.9297047,628.3074995,111.6160632,2.491616452,8.64E-32,1.04E-28,Tgfa,6,86195223,86275719,+,6490,protein_coding,transforming growth factor alpha [Source:MGI Symbol;Acc:MGI:98724],-,670,678,642,126,96,101,5.108293523,5.898928047,6.17505781,1.141276165,0.959101074,0.927457534
ENSMUSG00000092060,357.1376258,409.5195354,293.3145437,43.86775293,31.00334779,40.76423947,353.3239016,38.54511339,3.193176245,2.09E-30,2.35E-27,Bend4,5,67392147,67428310,-,9886,protein_coding,BEN domain containing 4 [Source:MGI Symbol;Acc:MGI:3648414],-,425,426,281,44,28,40,2.127228103,2.433196005,1.774338231,0.26163568,0.183643375,0.241133051
ENSMUSG00000015568,6166.296231,6311.9842,9631.364039,920.2258171,739.6512973,1245.347516,7369.88149,968.40821,2.927696353,3.93E-29,3.89E-26,Lpl,8,68880491,68907448,+,10478,protein_coding,lipoprotein lipase [Source:MGI Symbol;Acc:MGI:96820],-,7338,6566,9227,923,668,1222,34.65333614,35.38429817,54.9708969,5.178311908,4.133671013,6.950405903
ENSMUSG00000027199,205.8793372,214.3729023,235.9042238,18.94289331,9.96536179,7.133741907,218.7188211,12.013999,4.178023535,8.97E-29,8.39E-26,Gatm,2,122594467,122611303,-,3001,protein_coding,glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:MGI Symbol;Acc:MGI:1914342],-,245,223,226,19,9,7,4.039669422,4.195917779,4.701031272,0.372179548,0.194452869,0.139011075
ENSMUSG00000052026,834.4415586,1092.052094,1100.190495,99.69943847,172.7329377,157.9614279,1008.894716,143.4646014,2.815348955,3.32E-28,2.80E-25,Slc6a7,18,60995381,61014199,-,3342,protein_coding,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7 [Source:MGI Symbol;Acc:MGI:2147363]",-,993,1136,1054,100,156,155,14.70241038,19.1937568,19.68724118,1.758970085,3.026606732,2.764029087
ENSMUSG00000022747,307.5585201,298.0071736,355.9439837,48.85272485,45.39775927,31.59228559,320.5032258,41.9475899,2.933790723,3.19E-27,2.24E-24,St3gal6,16,58468125,58524243,-,6172,protein_coding,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:1888707]",-,366,310,341,49,41,31,2.934275625,2.83611527,3.448888531,0.466697056,0.430720736,0.29933199
ENSMUSG00000060882,310.0794916,272.0517101,283.9201277,41.87376416,28.78882295,44.84066341,288.6837765,38.50108351,2.902435067,3.34E-26,2.16E-23,Kcnd2,6,21215503,21729805,+,5152,protein_coding,"potassium voltage-gated channel, Shal-related family, member 2 [Source:MGI Symbol;Acc:MGI:102663]",-,369,283,272,42,26,44,3.5440207,3.101692093,3.295670208,0.479223752,0.327216605,0.508972337
ENSMUSG00000026888,236.9713188,234.560485,159.7050719,18.94289331,9.96536179,11.21016585,210.4122919,13.37280698,3.969025409,1.24E-25,7.56E-23,Grb14,2,64912476,65024987,-,7185,protein_coding,growth factor receptor bound protein 14 [Source:MGI Symbol;Acc:MGI:1355324],-,282,244,153,19,9,11,1.942084284,1.917569687,1.329276585,0.155450358,0.081218241,0.091239578
ENSMUSG00000031099,150.4179648,189.3787523,151.3544799,9.969943847,9.96536179,8.152847893,163.7170656,9.362717843,4.129196711,1.70E-25,9.86E-23,Smarca1,X,47809368,47892974,-,6118,protein_coding,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1935127]",-,179,197,145,10,9,8,1.447735742,1.818213405,1.479480434,0.096084963,0.095382978,0.077928779
ENSMUSG00000015222,316.8020822,359.5312353,154.4859519,8.972949462,17.71619874,8.152847893,276.9397564,11.6139987,4.588039268,3.94E-25,2.21E-22,Map2,1,66175273,66442583,+,16449,protein_coding,microtubule-associated protein 2 [Source:MGI Symbol;Acc:MGI:97175],-,377,374,148,9,16,8,1.134090174,1.283867495,0.561659244,0.032163841,0.063069345,0.028984635
ENSMUSG00000072949,252.9374715,257.6320082,506.2546396,0,4.429049684,1.019105987,338.9413731,1.81605189,7.602611989,5.10E-25,2.77E-22,Acot1,12,84009490,84018371,+,3919,protein_coding,acyl-CoA thioesterase 1 [Source:MGI Symbol;Acc:MGI:1349396],-,301,268,485,0,4,1,3.800467037,3.861425252,7.725332339,0,0.066179361,0.015206949
ENSMUSG00000027820,183.1905939,224.9473504,145.0915359,7.975955077,12.17988663,14.26748381,184.4098267,11.47444184,4.010417367,1.47E-24,7.49E-22,Mme,3,63241537,63386030,+,11542,protein_coding,membrane metallo endopeptidase [Source:MGI Symbol;Acc:MGI:97004],-,218,234,139,8,11,14,0.934590068,1.144782256,0.751769024,0.040744953,0.061794448,0.072287686
ENSMUSG00000029211,1528.549038,1488.113241,1065.744303,327.0141582,303.3899034,283.3114643,1360.802194,304.571842,2.159879321,4.46E-24,2.21E-21,Gabra4,5,71569749,71658308,-,6083,protein_coding,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4 [Source:MGI Symbol;Acc:MGI:95616]",-,1819,1548,1021,328,274,278,14.79655527,14.36948627,10.47752298,3.169720191,2.920589956,2.723606336
ENSMUSG00000024140,271.4245956,412.4034757,475.9837436,36.88879223,18.82346116,44.84066341,386.6039383,33.51763894,3.521264479,5.45E-24,2.62E-21,Epas1,17,86753907,86833410,+,5309,protein_coding,endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169],-,323,429,456,37,17,44,3.010478535,4.562812983,5.361703744,0.409688617,0.207622319,0.493920791
ENSMUSG00000026594,220.1648423,219.1794696,228.5974558,33.89780908,38.75418474,34.64960355,222.6472559,35.76719912,2.639603793,1.38E-22,6.28E-20,Ralgps2,1,156804166,156939626,-,12085,protein_coding,Ral GEF with PH domain and SH3 binding motif 2 [Source:MGI Symbol;Acc:MGI:1925505],-,262,228,219,34,35,34,1.072754573,1.065310712,1.131222818,0.165385397,0.187784279,0.167667782
ENSMUSG00000037600,118.4856594,154.7714676,218.1592158,5.981966308,6.643574527,2.038211973,163.8054476,4.887917603,5.073117066,1.77E-22,7.86E-20,Kdf1,4,133518963,133530790,+,2379,protein_coding,keratinocyte differentiation factor 1 [Source:MGI Symbol;Acc:MGI:1916323],-,141,161,209,6,6,2,2.932718702,3.821373924,5.484064329,0.148259219,0.16352895,0.050101752
ENSMUSG00000030513,157.1405554,159.5780349,109.6015199,3.987977539,5.536312106,7.133741907,142.1067034,5.552677184,4.681146998,2.51E-22,1.08E-19,Pcsk6,7,65861734,66050386,+,5190,protein_coding,proprotein convertase subtilisin/kexin type 6 [Source:MGI Symbol;Acc:MGI:102897],-,187,166,105,4,5,7,1.78287127,1.806046101,1.262910685,0.045306189,0.062465538,0.080380007
ENSMUSG00000006675,161.3421745,176.8816772,187.8883198,19.93988769,14.39441147,7.133741907,175.3707239,13.82268036,3.663016023,3.27E-22,1.38E-19,P4htm,9,108578862,108597667,-,3890,protein_coding,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:MGI Symbol;Acc:MGI:1921693]",-,192,184,180,20,13,7,2.442290754,2.670891977,2.88850817,0.302235374,0.216686369,0.10724222
ENSMUSG00000027035,1025.195067,1102.626542,521.9119995,135.5912363,111.8335045,84.58579689,883.2445363,110.6701792,2.996738082,2.76E-21,1.08E-18,Cers6,2,68861441,69114282,+,8875,protein_coding,ceramide synthase 6 [Source:MGI Symbol;Acc:MGI:2442564],Homeobox,1220,1147,500,136,101,83,6.802009074,7.297652142,3.516837803,0.900814661,0.737888689,0.557348821
ENSMUSG00000041782,149.5776409,218.2181562,406.0475356,11.96393262,15.5016739,17.32480177,257.9477776,14.93013609,4.110497108,3.96E-21,1.52E-18,Lad1,1,135818598,135833342,+,3400,protein_coding,ladinin [Source:MGI Symbol;Acc:MGI:109343],-,178,227,389,12,14,17,2.590519247,3.76994524,7.142025241,0.207475695,0.26698506,0.297980168
ENSMUSG00000036687,192.434156,246.0962466,600.1987995,15.95191015,12.17988663,27.51586164,346.2430674,18.54921948,4.217407891,2.16E-19,6.98E-17,Tmem184a,5,139802485,139819917,-,5277,protein_coding,transmembrane protein 184a [Source:MGI Symbol;Acc:MGI:2385897],-,229,256,575,16,11,27,2.147306932,2.739308675,6.801918861,0.178236969,0.135158521,0.304925698
ENSMUSG00000049670,150.4179648,105.744481,196.2389118,10.96693823,2.214524842,3.05731796,150.8004525,5.412927011,4.777542155,2.66E-19,8.46E-17,Morn4,19,42074939,42086370,-,1816,protein_coding,MORN repeat containing 4 [Source:MGI Symbol;Acc:MGI:2449568],-,179,110,188,11,2,3,4.877338803,3.420305846,6.462383122,0.356075211,0.071408842,0.098451597
ENSMUSG00000022018,419.3215889,368.1830564,447.8004956,91.72348339,95.22456822,115.1589765,411.7683803,100.7023427,2.031241638,3.02E-19,9.42E-17,Rgcc,14,79288756,79301645,-,918,protein_coding,regulator of cell cycle [Source:MGI Symbol;Acc:MGI:1913464],-,499,383,429,92,86,113,26.8969851,23.55831338,29.17193972,5.891285167,6.074263269,7.335895203
ENSMUSG00000030022,576.4621442,670.0354839,678.4855994,187.4349443,187.1273492,202.8020913,641.6610758,192.4547949,1.736625957,3.69E-19,1.13E-16,Adamts9,6,92772699,92943492,-,15048,protein_coding,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 [Source:MGI Symbol;Acc:MGI:1916320]",-,686,697,650,188,169,199,2.255750546,2.615423956,2.696405911,0.734419105,0.728191765,0.788118732
ENSMUSG00000032718,101.6791829,120.1641829,145.0915359,8.972949462,8.858099369,9.17195388,122.3116339,9.001000904,3.762047508,4.27E-19,1.28E-16,Mansc1,6,134609207,134632488,-,2376,protein_coding,MANSC domain containing 1 [Source:MGI Symbol;Acc:MGI:1914979],-,121,125,139,9,8,9,2.519907923,2.970651313,3.651901544,0.222669622,0.218313902,0.225742552
ENSMUSG00000017969,475.6232852,376.8348776,489.5534556,115.6513486,118.4770791,104.9679166,447.3372061,113.0321148,1.985022438,9.14E-19,2.65E-16,Ptgis,2,167191805,167240604,-,2567,protein_coding,prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156],-,566,392,469,116,107,103,10.91029015,8.622799743,11.40506252,2.656421702,2.702686983,2.391270534
ENSMUSG00000029212,348.7343876,318.1947563,116.9082879,15.95191015,21.037986,16.30569579,261.2791439,17.76519731,3.882851775,1.10E-18,3.05E-16,Gabrb1,5,71658113,72149037,+,13838,protein_coding,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1 [Source:MGI Symbol;Acc:MGI:95619]",-,415,331,112,16,19,16,1.483954238,1.350649833,0.505237285,0.067969106,0.089026257,0.068907106
ENSMUSG00000024598,237.8116426,323.9626371,198.3265598,34.89480346,42.075972,41.78334545,253.3669465,39.58470697,2.679841055,1.11E-18,3.05E-16,Fbn2,18,58008623,58209926,-,10480,protein_coding,fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490],-,283,337,190,35,38,41,1.336198226,1.815752789,1.131730486,0.196323216,0.235104074,0.233152422
ENSMUSG00000001864,153.7792601,158.6167214,126.3027039,18.94289331,11.07262421,6.11463592,146.2328951,12.04338448,3.597716334,1.81E-18,4.91E-16,Aif1l,2,31950139,31973442,+,4032,protein_coding,allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598],-,183,165,121,19,10,6,2.245827029,2.310742343,1.873335415,0.277011613,0.160811579,0.088684574
ENSMUSG00000039131,107.5614497,92.28609247,145.0915359,0.996994385,5.536312106,3.05731796,114.9796927,3.196874817,5.196091274,5.17E-18,1.34E-15,Gipc2,3,152093533,152166230,-,3839,protein_coding,"GIPC PDZ domain containing family, member 2 [Source:MGI Symbol;Acc:MGI:1889209]",-,128,96,139,1,5,3,1.649823918,1.412021218,2.260202675,0.015312524,0.084448071,0.046571529
ENSMUSG00000033491,1273.930919,1542.908109,2568.850862,196.4078938,242.4904702,370.9545791,1795.229963,269.9509811,2.733060388,6.18E-18,1.53E-15,Prss35,9,86743649,86758443,+,3444,protein_coding,"protease, serine 35 [Source:MGI Symbol;Acc:MGI:2444800]",-,1516,1605,2461,197,219,364,21.78119968,26.31479528,44.60660469,3.36254405,4.123052009,6.298767779
ENSMUSG00000063011,796.6269865,871.9113112,1271.377631,250.2455906,245.8122575,230.317953,979.9719762,242.125267,2.016410284,1.12E-17,2.73E-15,Msln,17,25748614,25754327,-,2114,protein_coding,mesothelin [Source:MGI Symbol;Acc:MGI:1888992],-,948,907,1218,251,222,226,22.18958053,24.22648492,35.96607137,6.979649878,6.809039169,6.371193753
ENSMUSG00000030257,91.59529697,124.9707502,101.2509279,7.975955077,6.643574527,8.152847893,105.9389917,7.590792499,3.798507495,2.02E-17,4.86E-15,Srgap3,6,112717971,112947266,-,9852,protein_coding,SLIT-ROBO Rho GTPase activating protein 3 [Source:MGI Symbol;Acc:MGI:2152938],-,109,130,97,8,6,8,0.547454251,0.745087111,0.614607743,0.047734292,0.039487959,0.048393044
ENSMUSG00000032537,380.6666929,444.12682,715.0194394,74.77457885,63.113958,104.9679166,513.2709841,80.95215116,2.662299204,2.06E-17,4.88E-15,Ephb1,9,101922128,102354693,-,7002,protein_coding,Eph receptor B1 [Source:MGI Symbol;Acc:MGI:1096337],-,453,462,685,75,57,103,3.201266527,3.725700764,6.106876841,0.629657029,0.52782577,0.876662591
ENSMUSG00000031389,94.95659227,106.7057944,160.7488959,0.996994385,4.429049684,1.019105987,120.8037609,2.148383352,5.851593276,4.11E-17,9.49E-15,Arhgap4,X,73891442,73921870,-,8105,protein_coding,Rho GTPase activating protein 4 [Source:MGI Symbol;Acc:MGI:2159577],-,113,111,154,1,4,1,0.6898762,0.773317897,1.186092059,0.007252903,0.031999619,0.007352996
ENSMUSG00000047139,88.23400167,96.13134633,105.4262239,2.990983154,7.750836948,5.095529933,96.59719063,5.279116678,4.209270178,7.10E-17,1.62E-14,Cd24a,10,43578284,43584265,+,2580,protein_coding,CD24a antigen [Source:MGI Symbol;Acc:MGI:88323],-,105,100,101,3,7,5,2.013795338,2.188610084,2.443725183,0.068354396,0.175920388,0.115496189
ENSMUSG00000032968,4829.341025,4815.219138,9324.479784,908.2618844,861.4501636,1479.741893,6323.013315,1083.151314,2.545211488,3.24E-16,6.81E-14,Inha,1,75507077,75510366,+,1475,protein_coding,inhibin alpha [Source:MGI Symbol;Acc:MGI:96569],-,5747,5009,8933,911,778,1452,192.7946219,191.7551838,378.0558913,36.30707444,34.19994579,58.66673951
ENSMUSG00000026890,180.6696225,161.5006618,156.5735999,19.93988769,31.00334779,34.64960355,166.2479614,28.53094634,2.546226267,1.54E-15,3.01E-13,Lhx6,2,36081953,36105408,-,4805,protein_coding,LIM homeobox protein 6 [Source:MGI Symbol;Acc:MGI:1306803],Homeobox,215,168,150,20,28,34,2.214067239,1.974258386,1.948716056,0.244681708,0.377835257,0.421699301
ENSMUSG00000022883,91.59529697,118.241556,93.94415992,3.987977539,12.17988663,5.095529933,101.2603376,7.087798035,3.857148545,1.58E-15,3.06E-13,Robo1,16,72308306,73046095,+,16511,protein_coding,roundabout guidance receptor 1 [Source:MGI Symbol;Acc:MGI:1274781],-,109,123,90,4,11,5,0.326662182,0.420648976,0.340266997,0.014241362,0.043197354,0.018047373
ENSMUSG00000093910,120.166307,118.241556,99.16327991,16.94890454,8.858099369,7.133741907,112.5237143,10.98024861,3.350762604,1.97E-15,3.76E-13,Zfp853,5,143287038,143293623,-,3140,protein_coding,zinc finger protein 853 [Source:MGI Symbol;Acc:MGI:2685638],zf-C2H2,143,123,95,17,8,7,2.253471799,2.211890204,1.888620301,0.318261549,0.165195488,0.1328574
ENSMUSG00000025885,1040.320896,1152.614842,942.5730712,405.7767146,378.683748,369.9354732,1045.169603,384.7986452,1.441579984,2.02E-15,3.82E-13,Myo5b,18,74440936,74771493,+,9766,protein_coding,myosin VB [Source:MGI Symbol;Acc:MGI:106598],-,1238,1199,903,407,342,363,6.272629883,6.932510961,5.771938922,2.449867455,2.270634473,2.215171021
ENSMUSG00000060477,370.582807,392.215893,377.8642877,128.6122756,118.4770791,124.3309304,380.2209959,123.8067617,1.618089741,3.25E-15,5.54E-13,Irak2,6,113638467,113695026,+,4412,protein_coding,interleukin-1 receptor-associated kinase 2 [Source:MGI Symbol;Acc:MGI:2429603],-,441,408,362,129,107,122,4.945939774,5.22171015,5.121813532,1.718775306,1.572483564,1.647941092
ENSMUSG00000070803,312.6004631,265.3225159,449.8881436,84.7445227,53.14859621,58.08904124,342.6037075,65.32738672,2.387656841,5.49E-15,8.80E-13,Cited4,4,120666572,120667820,+,1249,protein_coding,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4 [Source:MGI Symbol;Acc:MGI:1861694]",-,372,276,431,85,48,57,14.73758217,12.47770591,21.54098351,4.000565509,2.491819844,2.719754936
ENSMUSG00000001552,2263.832386,2335.030402,3983.23238,472.5753383,508.2334513,796.9408816,2860.698389,592.5832237,2.271010383,5.79E-15,9.20E-13,Jup,11,100368958,100397763,-,6436,protein_coding,junction plakoglobin [Source:MGI Symbol;Acc:MGI:96650],-,2694,2429,3816,474,459,782,20.71225069,21.31079155,37.01204036,4.329394941,4.624177446,7.241158837
ENSMUSG00000045288,75.62914429,85.55689823,96.03180791,1.993988769,2.214524842,7.133741907,85.73928348,3.780751839,4.493631948,6.11E-15,9.61E-13,Ush1g,11,115315192,115322041,-,3306,protein_coding,USH1 protein network component sans [Source:MGI Symbol;Acc:MGI:2450757],-,90,89,92,2,2,7,1.347055217,1.520110851,1.737143416,0.03556248,0.039225184,0.126186399
ENSMUSG00000030589,181.5099463,273.974337,470.7646236,42.87075854,25.46703569,44.84066341,308.7496356,37.72615255,3.028045989,9.12E-15,1.40E-12,Rasgrp4,7,29134851,29153961,+,6363,protein_coding,RAS guanyl releasing protein 4 [Source:MGI Symbol;Acc:MGI:2386851],-,216,285,451,43,23,44,1.679722602,2.529129333,4.424511366,0.397256884,0.234370936,0.412105214
ENSMUSG00000046314,365.5408641,286.4714121,233.8165758,71.7835957,50.93407137,34.64960355,295.276284,52.45575687,2.492826215,1.22E-14,1.82E-12,Stxbp6,12,44852484,45074709,-,5297,protein_coding,syntaxin binding protein 6 (amisyn) [Source:MGI Symbol;Acc:MGI:2384963],-,435,298,224,72,46,34,4.063544518,3.17668676,2.639786125,0.79903798,0.563074292,0.382530705
ENSMUSG00000061353,157.1405554,207.6437081,245.2986398,0,0,2.038211973,203.3609677,0.679403991,8.197291106,1.56E-14,2.25E-12,Cxcl12,6,117168535,117181367,+,8176,protein_coding,chemokine (C-X-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:103556],-,187,216,235,0,0,2,1.131739468,1.491766912,1.794228191,0,0,0.014578286
ENSMUSG00000038305,84.03238254,106.7057944,126.3027039,11.96393262,9.96536179,16.30569579,105.6802936,12.74499673,3.045319095,9.67E-14,1.29E-11,Spats2l,1,57774162,57948394,+,8041,protein_coding,"spermatogenesis associated, serine-rich 2-like [Source:MGI Symbol;Acc:MGI:1914448]",-,100,111,121,12,9,16,0.615369087,0.779472896,0.939346896,0.087727567,0.0725722,0.118584323
ENSMUSG00000034839,75.62914429,76.90507706,86.63739192,7.975955077,6.643574527,7.133741907,79.72387109,7.251090504,3.455006448,1.00E-13,1.33E-11,Larp6,9,60712989,60738801,+,2440,protein_coding,"La ribonucleoprotein domain family, member 6 [Source:MGI Symbol;Acc:MGI:1914807]",-,90,80,83,8,6,7,1.825149405,1.851348858,2.123434956,0.192736984,0.159440727,0.170972228
ENSMUSG00000041020,144.535698,132.6612579,115.8644639,21.93387646,21.037986,28.53496763,131.0204733,23.83561003,2.458199973,1.39E-13,1.80E-11,Map7d2,X,159414572,159498757,+,4121,protein_coding,MAP7 domain containing 2 [Source:MGI Symbol;Acc:MGI:1917474],-,172,138,111,22,19,28,2.065244957,1.890882636,1.681400068,0.313823141,0.298943302,0.404923305
ENSMUSG00000057000,284.8697768,306.6589948,427.9678396,73.77758447,49.82680895,93.75775077,339.8322037,72.45404806,2.226143316,1.58E-13,2.03E-11,Nxf3,X,136072099,136085255,-,3048,protein_coding,nuclear RNA export factor 3 [Source:MGI Symbol;Acc:MGI:2685230],-,339,319,410,74,45,92,5.503392321,5.909678054,8.396911782,1.427189547,0.957272079,1.79883041
ENSMUSG00000032348,482.3458758,456.6238951,1225.449375,98.70244408,126.227916,101.9105987,721.4730486,108.9469863,2.727317704,2.01E-13,2.54E-11,Gsta4,9,78182774,78209349,+,1266,protein_coding,"glutathione S-transferase, alpha 4 [Source:MGI Symbol;Acc:MGI:1309515]",-,574,475,1174,99,114,100,22.43488898,21.18595306,57.88753915,4.596914095,5.838603545,4.707427614
ENSMUSG00000043251,355.4569782,404.712968,627.3382234,94.71446654,121.7988663,116.1780825,462.5027232,110.8971384,2.059966669,2.18E-13,2.72E-11,Exoc3l,8,105289924,105296101,-,3693,protein_coding,exocyst complex component 3-like [Source:MGI Symbol;Acc:MGI:3041195],-,423,421,601,95,110,114,5.667699262,6.437109398,10.15888071,1.512199871,1.931306573,1.839682597
ENSMUSG00000024986,149.5776409,137.4678252,159.7050719,34.89480346,27.68156053,34.64960355,148.916846,32.40865585,2.196999691,2.78E-13,3.39E-11,Hhex,19,37434810,37440731,+,1918,protein_coding,hematopoietically expressed homeobox [Source:MGI Symbol;Acc:MGI:96086],Homeobox,178,143,153,35,25,34,4.592161334,4.209936414,4.979589293,1.072714968,0.845141148,1.056446894
ENSMUSG00000001348,90.75497315,79.78901745,179.5377278,0.996994385,5.536312106,11.21016585,116.6939061,5.914490781,4.303851469,2.98E-13,3.61E-11,Acp5,9,22126727,22135711,-,2030,protein_coding,"acid phosphatase 5, tartrate resistant [Source:MGI Symbol;Acc:MGI:87883]",-,108,83,172,1,5,11,2.632530767,2.308714105,5.289116164,0.02895802,0.159702534,0.322934172
ENSMUSG00000007946,78.99043959,115.3576156,89.76886392,11.96393262,11.07262421,4.076423947,94.7056397,9.037660258,3.391696713,3.66E-13,4.35E-11,Phox2a,7,101818313,101822726,+,2035,protein_coding,paired-like homeobox 2a [Source:MGI Symbol;Acc:MGI:106633],Homeobox,94,120,86,12,10,4,2.285647106,3.329698682,2.638060396,0.346642439,0.318620289,0.117142081
ENSMUSG00000029603,89.91464932,98.05397325,185.8006718,9.969943847,8.858099369,17.32480177,124.5897648,12.05094833,3.363577109,3.67E-13,4.35E-11,Dtx1,5,120680202,120711927,-,5270,protein_coding,"deltex 1, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:1352744]",-,107,102,178,10,8,17,1.004659512,1.092893035,2.108434353,0.111546073,0.098427672,0.19224527
