gene_id,KO_bTMR1,KO_bTMR2,WT_bTMR1,WT_bTMR2,WT_bTMR3,KO_bTMR,WT_bTMR,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,KO_bTMR1_count,KO_bTMR2_count,WT_bTMR1_count,WT_bTMR2_count,WT_bTMR3_count,KO_bTMR1_fpkm,KO_bTMR2_fpkm,WT_bTMR1_fpkm,WT_bTMR2_fpkm,WT_bTMR3_fpkm
ENSMUSG00000031099,597.9939557,755.4257399,64.02765611,68.18362177,91.07174153,676.7098478,74.42767314,3.18488362,1.87E-24,3.37E-21,Smarca1,X,47809368,47892974,-,6118,protein_coding,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1935127]",-,629,826,65,62,88,5.741260631,7.28157005,0.602172624,0.652169158,0.848753933
ENSMUSG00000055430,210.1059844,254.247404,0.985040863,3.299207505,4.139624615,232.1766942,2.807957661,6.385971327,7.81E-22,1.29E-18,Nap1l5,6,58905233,58907076,-,1844,protein_coding,nucleosome assembly protein 1-like 5 [Source:MGI Symbol;Acc:MGI:1923555],-,221,278,1,3,4,6.692639723,8.130894694,0.030736627,0.104697998,0.127999324
ENSMUSG00000096054,1707.467638,1480.671032,423.5675712,398.1043723,363.25206,1594.069335,394.9746678,2.012705485,2.56E-20,3.92E-17,Syne1,10,5020917,5551482,-,40491,protein_coding,"spectrin repeat containing, nuclear envelope 1 [Source:MGI Symbol;Acc:MGI:1927152]",-,1796,1619,430,362,351,2.476931063,2.156466934,0.601903788,0.575344688,0.511513634
ENSMUSG00000015222,1115.177917,1286.784523,44.32683884,117.6717343,90.03683538,1200.98122,84.01180286,3.840068173,1.20E-19,1.70E-16,Map2,1,66175273,66442583,+,16449,protein_coding,microtubule-associated protein 2 [Source:MGI Symbol;Acc:MGI:97175],-,1173,1407,45,107,87,3.98221406,4.61327192,0.155056557,0.418622259,0.312096108
ENSMUSG00000038602,675.0011265,1133.13861,34.47643021,43.9894334,85.89721077,904.0698682,54.78769146,4.044945046,9.21E-18,1.22E-14,Slc35f1,10,52690533,53111622,+,4941,protein_coding,"solute carrier family 35, member F1 [Source:MGI Symbol;Acc:MGI:2139810]",-,710,1239,35,40,83,8.024344854,13.52417898,0.401485915,0.52098255,0.991224068
ENSMUSG00000113959,6.654940684,5.487354043,162.5317424,162.7609036,117.9793015,6.071147363,147.7573158,-4.606813275,9.49E-17,1.18E-13,Gm46339,12,19301653,19305191,+,3539,TEC,"predicted gene, 46339 [Source:MGI Symbol;Acc:MGI:5825976]",-,7,6,165,148,114,0.110454539,0.091437669,2.642533521,2.691281914,1.900784531
ENSMUSG00000022790,240.5285704,354.8488948,6.895286042,21.9947167,16.55849846,297.6887326,15.1495004,4.305614982,3.57E-16,4.17E-13,Igsf11,16,38892671,39027159,+,4493,protein_coding,"immunoglobulin superfamily, member 11 [Source:MGI Symbol;Acc:MGI:2388477]",-,253,388,7,20,16,3.144489815,4.657466761,0.088303668,0.286465032,0.210131986
ENSMUSG00000042717,5.704234872,6.40191305,243.3050932,386.0072781,123.1538323,6.053073961,250.8220679,-5.371661023,1.12E-15,1.24E-12,Ppp1r3a,6,14713977,14755274,-,6965,protein_coding,"protein phosphatase 1, regulatory subunit 3A [Source:MGI Symbol;Acc:MGI:2153588]",-,6,7,247,351,119,0.048105665,0.054204005,2.009985646,3.243127596,1.008171557
ENSMUSG00000037139,127.3945788,126.209143,491.5353907,489.3824466,601.2804754,126.8018609,527.3994376,-2.056376069,2.14E-15,2.24E-12,Myom3,4,135759715,135815564,+,6038,protein_coding,"myomesin family, member 3 [Source:MGI Symbol;Acc:MGI:2685280]",-,134,138,499,445,581,1.239303795,1.232651859,4.684082768,4.74291064,5.677950785
ENSMUSG00000021765,237.676453,267.0512301,13.79057208,21.9947167,6.209436923,252.3638415,13.9982419,4.178512912,2.91E-15,2.89E-12,Fst,13,114452290,114458951,-,4589,protein_coding,follistatin [Source:MGI Symbol;Acc:MGI:95586],-,250,292,14,20,6,3.042201953,3.431778515,0.172912783,0.280472301,0.077151041
ENSMUSG00000031980,758.663238,551.4790813,14.77561295,46.18890507,9.314155384,655.0711596,23.42622447,4.812284173,5.08E-15,4.80E-12,Agt,8,124556534,124569706,-,1891,protein_coding,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [Source:MGI Symbol;Acc:MGI:87963]",-,798,603,15,42,9,23.56554306,17.19809092,0.449590218,1.429340836,0.280840399
ENSMUSG00000020340,482.9585525,406.9787582,55.16228834,48.38837674,22.76793538,444.9686553,42.10620015,3.40098303,5.49E-15,4.96E-12,Cyfip2,11,46193850,46312859,-,7103,protein_coding,cytoplasmic FMR1 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924134],-,508,445,56,44,22,3.993815402,3.378879108,0.446851619,0.398647369,0.1827635
ENSMUSG00000028613,268.099039,386.85846,6.895286042,27.49339588,13.45378,327.4787495,15.94748731,4.37026096,1.65E-14,1.43E-11,Lrp8,4,107802261,107876840,+,10514,protein_coding,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor [Source:MGI Symbol;Acc:MGI:1340044]",-,282,423,7,25,13,1.497777235,2.169835708,0.037735246,0.153020662,0.072959858
ENSMUSG00000021903,596.0925441,754.5111809,125.1001896,155.0627527,98.31608461,675.3018625,126.1596757,2.421288644,2.74E-14,2.19E-11,Galnt15,14,32028989,32062197,+,6326,protein_coding,polypeptide N-acetylgalactosaminyltransferase 15 [Source:MGI Symbol;Acc:MGI:1926004],-,627,825,127,141,95,5.534831999,7.033625131,1.137867405,1.434392366,0.886141381
ENSMUSG00000027443,247.1835111,306.3772674,11.82049036,14.29656586,31.04718461,276.7803892,19.05474694,3.861065818,2.78E-14,2.19E-11,Cst12,2,148789361,148793546,+,655,protein_coding,cystatin 12 [Source:MGI Symbol;Acc:MGI:1916612],-,260,335,12,13,30,22.16655168,27.58404574,1.038381805,1.277262296,2.702642207
ENSMUSG00000022262,155.9157532,167.3642983,0,0,0,161.6400257,0,9.724387226,2.87E-14,2.19E-11,Dnah5,15,28203752,28472052,+,15637,protein_coding,"dynein, axonemal, heavy chain 5 [Source:MGI Symbol;Acc:MGI:107718]",-,164,183,0,0,0,0.585674751,0.631178375,0,0,0
ENSMUSG00000032281,3285.639286,2449.189021,30.53626676,193.553507,67.2689,2867.414154,97.11955791,4.885820323,3.58E-14,2.63E-11,Acsbg1,9,54604877,54661870,-,3604,protein_coding,acyl-CoA synthetase bubblegum family member 1 [Source:MGI Symbol;Acc:MGI:2385656],-,3456,2678,31,176,65,53.5494533,40.07561978,0.487521794,3.142721709,1.06423411
ENSMUSG00000024039,129.2959904,325.5830065,9.850408632,10.99735835,5.174530769,227.4394985,8.67409925,4.714763935,7.81E-14,5.54E-11,Cbs,17,31612623,31637199,-,3343,protein_coding,cystathionine beta-synthase [Source:MGI Symbol;Acc:MGI:88285],-,136,356,10,10,5,2.271792292,5.74338697,0.169543345,0.192504845,0.088255591
ENSMUSG00000038112,499.1205513,160.0478262,7.880326905,14.29656586,3.104718461,329.5841888,8.427203741,5.296727354,1.33E-13,9.14E-11,AW551984,9,39587396,39604403,-,6082,protein_coding,expressed sequence AW551984 [Source:MGI Symbol;Acc:MGI:2143322],-,525,175,8,13,3,4.820354489,1.551836956,0.07455224,0.137554555,0.029106061
ENSMUSG00000095320,159.7185764,119.8072299,3.940163453,1.099735835,0,139.7629032,1.679966429,6.346218818,2.24E-13,1.48E-10,Ccl21a,JH584294.1,121048,121713,-,402,protein_coding,chemokine (C-C motif) ligand 21A (serine) [Source:MGI Symbol;Acc:MGI:1349183],-,168,131,4,1,0,23.33723065,17.57517669,0.563963584,0.160085496,0
ENSMUSG00000055717,234.8243356,209.4340126,11.82049036,29.69286755,17.59340461,222.1291741,19.70225417,3.502704599,6.43E-13,4.04E-10,Slain1,14,103650228,103704907,+,3284,protein_coding,"SLAIN motif family, member 1 [Source:MGI Symbol;Acc:MGI:2145578]",-,247,229,12,27,17,4.200102553,3.760856746,0.207107211,0.529101089,0.305460018
ENSMUSG00000074607,215.8102193,119.8072299,1.970081726,7.698150845,8.27924923,167.8087246,5.982493934,4.821520598,6.51E-13,4.04E-10,Tox2,2,163203125,163324170,+,3401,protein_coding,TOX high mobility group box family member 2 [Source:MGI Symbol;Acc:MGI:3611233],HMG,227,131,2,7,8,3.727222465,2.077395186,0.033330397,0.132455333,0.138800796
ENSMUSG00000053846,1122.783564,838.6506095,28.56618503,16.49603753,86.93211692,980.7170867,43.99811316,4.477258267,6.96E-13,4.19E-10,Lipg,18,74939322,74961263,-,3787,protein_coding,"lipase, endothelial [Source:MGI Symbol;Acc:MGI:1341803]",-,1181,917,29,15,84,17.41488786,13.05955828,0.434030067,0.254902441,1.308858148
ENSMUSG00000054986,145.4579892,104.2597268,0,0,0,124.858858,0,9.351687523,1.11E-12,6.47E-10,Sec14l3,11,4064841,4077736,+,2784,protein_coding,SEC14-like lipid binding 3 [Source:MGI Symbol;Acc:MGI:3617848],-,153,114,0,0,0,3.068939237,2.208462746,0,0,0
ENSMUSG00000008489,70.35223009,36.58236028,428.4927755,658.7417652,1401.262932,53.46729519,829.4991576,-3.956302183,1.41E-12,8.01E-10,Elavl2,4,91250763,91400785,-,8313,protein_coding,ELAV like RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1100887],-,74,40,435,599,1354,0.497095726,0.259511536,2.965846022,4.637106623,9.611020066
ENSMUSG00000073164,15.21129299,3.658236028,233.4546846,450.8916924,145.9217677,9.43476451,276.7560482,-4.879383942,3.76E-12,2.07E-09,2410018L13Rik,12,22953997,23010284,-,4122,lincRNA,RIKEN cDNA 2410018L13 gene [Source:MGI Symbol;Acc:MGI:1916982],-,16,4,237,410,141,0.216759472,0.052336715,3.258798308,6.401089644,2.018458038
ENSMUSG00000046182,144.5072834,125.294584,0,0,4.139624615,134.9009337,1.379874872,6.607545152,4.73E-12,2.54E-09,Gsg1l,7,125878420,126082411,-,3923,protein_coding,GSG1-like [Source:MGI Symbol;Acc:MGI:2685483],-,152,137,0,0,4,2.163671725,1.883461366,0,0,0.060165881
ENSMUSG00000029231,2892.997786,3348.200525,643.2316836,887.4868188,479.1615492,3120.599155,669.9600172,2.219956136,6.62E-12,3.46E-09,Pdgfra,5,75152292,75198215,+,10024,protein_coding,"platelet derived growth factor receptor, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97530]",-,3043,3661,653,807,463,16.95223578,19.69759157,3.692234252,5.18096331,2.725514728
ENSMUSG00000012350,71.3029359,325.5830065,1.970081726,4.39894334,1.034906154,198.4429712,2.467977073,6.345147765,1.02E-11,5.12E-09,Ehf,2,103263433,103303278,-,5576,protein_coding,ets homologous factor [Source:MGI Symbol;Acc:MGI:1270840],ETS,75,356,2,4,1,0.751111806,3.443354132,0.02032939,0.046165258,0.01058244
ENSMUSG00000061143,534.2966663,619.1564478,138.8907617,159.4616961,183.1783892,576.7265571,160.5102823,1.845722936,1.03E-11,5.12E-09,Maml3,3,51685907,52105076,-,10486,protein_coding,mastermind like transcriptional coactivator 3 [Source:MGI Symbol;Acc:MGI:2389461],-,562,677,141,145,177,2.992902383,3.482036125,0.762125307,0.889889718,0.996029068
ENSMUSG00000020848,422.1133805,566.1120254,12.80553122,46.18890507,8.27924923,494.112703,22.42456184,4.468613551,1.68E-11,8.04E-09,Doc2b,11,75768966,75796049,-,4361,protein_coding,"double C2, beta [Source:MGI Symbol;Acc:MGI:1100497]",-,444,619,13,42,8,5.685425503,7.655243678,0.1689563,0.61978526,0.10824616
ENSMUSG00000006538,119.7889323,108.8325218,10.83544949,9.897622515,6.209436923,114.3107271,8.980836311,3.668940892,1.70E-11,8.04E-09,Ihh,1,74945315,74951672,-,3048,protein_coding,Indian hedgehog [Source:MGI Symbol;Acc:MGI:96533],-,126,119,11,9,6,2.308456378,2.105651315,0.204547816,0.190022745,0.116156867
ENSMUSG00000060882,1203.593558,2915.614115,260.0507879,265.0363362,126.2585508,2059.603836,217.115225,3.245941373,2.30E-11,1.06E-08,Kcnd2,6,21215503,21729805,+,5152,protein_coding,"potassium voltage-gated channel, Shal-related family, member 2 [Source:MGI Symbol;Acc:MGI:102663]",-,1266,3188,264,241,122,13.7222062,33.37312811,2.904324885,3.010365501,1.397309386
ENSMUSG00000046402,819.5084099,410.6369942,3636.770867,3060.564829,2744.57112,615.0727021,3147.302272,-2.35550228,2.62E-11,1.18E-08,Rbp1,9,98422961,98446575,+,2652,protein_coding,"retinol binding protein 1, cellular [Source:MGI Symbol;Acc:MGI:97876]",-,862,449,3692,2783,2652,18.15096987,9.131187874,78.90514026,67.53326185,59.00768819
ENSMUSG00000052861,110.2818742,112.4907579,0.985040863,6.59841501,5.174530769,111.386316,4.252662214,4.730719185,3.10E-11,1.37E-08,Dnah6,6,73017606,73221651,-,13247,protein_coding,"dynein, axonemal, heavy chain 6 [Source:MGI Symbol;Acc:MGI:107744]",-,116,123,1,6,5,0.488997392,0.5007743,0.004278579,0.029148201,0.022272095
ENSMUSG00000022425,291.8666843,693.2357274,43.34179798,42.88969757,14.48868615,492.5512058,33.5733939,3.875212304,3.31E-11,1.43E-08,Enpp2,15,54838901,54952892,-,5779,protein_coding,ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1321390],-,307,758,44,39,14,2.966550671,7.074096312,0.431536073,0.434300123,0.142949928
ENSMUSG00000026255,443.9796142,351.1906587,80.77335078,43.9894334,37.25662154,397.5851365,54.00646857,2.877237322,3.72E-11,1.57E-08,Efhd1,1,87264363,87310839,+,2125,protein_coding,EF hand domain containing 1 [Source:MGI Symbol;Acc:MGI:1921607],-,467,384,82,40,36,12.27224554,9.746007633,2.187117127,1.211376368,0.999659659
ENSMUSG00000067818,3573.703147,3871.328277,1354.431187,1567.123565,1198.421326,3722.515712,1373.325359,1.438735076,7.34E-11,3.02E-08,Myl9,2,156775420,156781658,+,1162,protein_coding,"myosin, light polypeptide 9, regulatory [Source:MGI Symbol;Acc:MGI:2138915]",-,3759,4233,1375,1425,1158,180.647638,196.4701594,67.06774333,78.91994544,58.80456362
ENSMUSG00000027230,1093.311684,802.9828082,3475.224165,2926.397057,2686.616375,948.147246,3029.412532,-1.676004878,7.44E-11,3.02E-08,Creb3l1,2,91982328,92024502,-,2603,protein_coding,cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062],TF_bZIP,1150,878,3528,2661,2596,24.67117092,18.19176365,76.81950986,65.78831247,58.84900443
ENSMUSG00000020607,179.6833985,307.2918264,10.83544949,28.59313171,8.27924923,243.4876124,15.90261015,3.944678037,1.42E-10,5.63E-08,Fam84a,12,14146830,14152054,-,4308,protein_coding,"family with sequence similarity 84, member A [Source:MGI Symbol;Acc:MGI:2145011]",-,189,336,11,26,8,2.449921671,4.206472363,0.144721853,0.388396845,0.10957788
ENSMUSG00000038453,151.1622241,97.85781376,0,4.39894334,0,124.5100189,1.466314447,6.467797605,1.52E-10,5.81E-08,Srcin1,11,97509340,97576186,-,9558,protein_coding,SRC kinase signaling inhibitor 1 [Source:MGI Symbol;Acc:MGI:1933179],-,159,107,0,4,0,0.928958233,0.603769553,0,0.026932149,0
ENSMUSG00000031626,1745.495871,1796.19389,150.7112521,296.9286755,75.54814923,1770.84488,174.3960256,3.344895376,1.52E-10,5.81E-08,Sorbs2,8,45507788,45827906,+,27851,protein_coding,sorbin and SH3 domain containing 2 [Source:MGI Symbol;Acc:MGI:1924574],-,1836,1964,153,270,73,3.681272558,3.803252394,0.311363543,0.623879924,0.154664509
ENSMUSG00000039457,316.5850354,318.2665345,13.79057208,43.9894334,12.41887385,317.4257849,23.39962644,3.76891879,1.78E-10,6.68E-08,Ppl,16,5086291,5132421,-,6893,protein_coding,periplakin [Source:MGI Symbol;Acc:MGI:1194898],-,333,348,14,40,12,2.697752135,2.722860694,0.115116315,0.373447669,0.102726281
ENSMUSG00000049112,276.6553913,393.2603731,7.880326905,31.89233922,5.174530769,334.9578822,14.98239896,4.492183442,2.13E-10,7.83E-08,Oxtr,6,112473683,112489943,-,4790,protein_coding,oxytocin receptor [Source:MGI Symbol;Acc:MGI:109147],-,291,430,8,29,5,3.392528974,4.8415832,0.094661111,0.389619356,0.061594664
ENSMUSG00000071550,89.36634633,123.465466,1.970081726,7.698150845,2.069812308,106.4159061,3.912681626,4.787985212,2.27E-10,8.21E-08,Cfap44,16,44394796,44482428,+,8405,protein_coding,cilia and flagella associated protein 44 [Source:MGI Symbol;Acc:MGI:1277238],-,94,135,2,7,2,0.6245342,0.866264482,0.013486815,0.053596738,0.014041092
ENSMUSG00000039533,110.2818742,74.07927958,2.955122589,2.19947167,0,92.18057688,1.718198086,5.738619183,3.02E-10,1.07E-07,Mmd2,5,142562358,142608800,-,5193,protein_coding,monocyte to macrophage differentiation-associated 2 [Source:MGI Symbol;Acc:MGI:1922354],-,116,81,3,2,0,1.247400048,0.8412424,0.03274312,0.024785045,0
ENSMUSG00000061353,2410.989939,857.8563487,149.7262112,237.5429404,231.8189785,1634.423144,206.36271,2.985876509,3.69E-10,1.29E-07,Cxcl12,6,117168535,117181367,+,8176,protein_coding,chemokine (C-X-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:103556],-,2536,938,152,216,224,17.32105961,6.187517109,1.053706911,1.700164362,1.616648991
ENSMUSG00000001870,2190.426191,1290.442759,106.3844132,205.6506011,35.18680923,1740.434475,115.7406079,3.911430199,4.76E-10,1.63E-07,Ltbp1,17,75005568,75392512,+,10480,protein_coding,latent transforming growth factor beta binding protein 1 [Source:MGI Symbol;Acc:MGI:109151],-,2304,1411,108,187,34,12.27685939,7.261397114,0.584089765,1.14830793,0.191437156
ENSMUSG00000027442,104.5776393,113.4053169,1.970081726,0,0,108.9914781,0.656693909,7.307823797,5.13E-10,1.73E-07,Cst8,2,148798785,148805595,+,853,protein_coding,cystatin 8 (cystatin-related epididymal spermatogenic) [Source:MGI Symbol;Acc:MGI:107161],-,110,124,2,0,0,7.201280768,7.840199453,0.132891771,0,0
ENSMUSG00000021792,1687.502816,1236.483778,4089.889664,6544.527954,7206.051549,1461.993297,5946.823056,-2.024198037,8.54E-10,2.83E-07,Fam213a,14,40993740,41013788,-,2948,protein_coding,"family with sequence similarity 213, member A [Source:MGI Symbol;Acc:MGI:1917814]",-,1775,1352,4152,5951,6963,33.62303929,24.73453041,79.82648184,129.9093803,139.3726367
ENSMUSG00000034227,166.3735171,163.7060623,0,9.897622515,2.069812308,165.0397897,3.989144941,5.400338523,9.49E-10,3.09E-07,Foxj1,11,116330704,116335399,-,2623,protein_coding,forkhead box J1 [Source:MGI Symbol;Acc:MGI:1347474],Fork,175,179,0,9,2,3.725682552,3.680520132,0,0.22081179,0.044992519
ENSMUSG00000033102,533.3459605,823.1031064,118.2049036,184.7556203,107.63024,678.2245335,136.863588,2.310319228,1.12E-09,3.58E-07,Cdc14b,13,64189268,64275290,-,9179,protein_coding,CDC14 cell division cycle 14B [Source:MGI Symbol;Acc:MGI:2441808],-,561,900,120,168,104,3.412978726,5.288123592,0.740974052,1.177855331,0.668569514
ENSMUSG00000056856,79.85928821,108.8325218,2.955122589,3.299207505,8.27924923,94.34590503,4.844526442,4.283718481,1.22E-09,3.85E-07,Jakmip3,7,138940730,139083976,+,5111,protein_coding,janus kinase and microtubule interacting protein 3 [Source:MGI Symbol;Acc:MGI:1921254],-,84,119,3,3,8,0.917781914,1.255727883,0.033268445,0.037774038,0.092361868
ENSMUSG00000017897,68.45081846,105.1742858,5.910245179,5.498679175,3.104718461,86.81255214,4.837880938,4.165082186,1.40E-09,4.35E-07,Eya2,2,165595032,165771727,+,2963,protein_coding,EYA transcriptional coactivator and phosphatase 2 [Source:MGI Symbol;Acc:MGI:109341],-,72,115,6,5,3,1.356959653,2.093247813,0.114772204,0.108596641,0.059744537
ENSMUSG00000055730,164.4721055,36.58236028,0,0,0,100.5272329,0,9.03881381,1.69E-09,5.17E-07,Ces2a,8,104734003,104741634,+,2359,protein_coding,carboxylesterase 2A [Source:MGI Symbol;Acc:MGI:2142491],-,173,40,0,0,0,4.095286145,0.914505891,0,0,0
ENSMUSG00000113234,6.654940684,1.829118014,95.54896373,61.58520676,94.17646,4.242029349,83.77021016,-4.313718607,1.75E-09,5.26E-07,Gm49330,12,17993133,17993258,+,126,unprocessed_pseudogene,"predicted gene, 49330 [Source:MGI Symbol;Acc:MGI:6121515]",-,7,2,97,56,91,3.102369947,0.856079126,43.63332538,28.60194202,42.61666369
ENSMUSG00000036687,154.0143415,106.0888448,10.83544949,19.79524503,13.45378,130.0515932,14.69482484,3.151340891,1.95E-09,5.78E-07,Tmem184a,5,139802485,139819917,-,5277,protein_coding,transmembrane protein 184a [Source:MGI Symbol;Acc:MGI:2385897],-,162,116,11,18,13,1.714328362,1.185564952,0.118147004,0.21951462,0.145366675
ENSMUSG00000026879,7939.344236,7644.79874,3005.359674,2371.03046,1800.736708,7792.071488,2392.375614,1.703503364,2.00E-09,5.81E-07,Gsn,2,35256380,35307892,+,3157,protein_coding,gelsolin [Source:MGI Symbol;Acc:MGI:95851],-,8351,8359,3051,2156,1740,147.7168343,142.8019706,54.77529804,43.94932554,32.52245089
ENSMUSG00000020627,244.3313937,139.9275281,1658.808814,719.2272361,1176.688297,192.1294609,1184.908116,-2.62512445,2.02E-09,5.81E-07,Klhl29,12,5077472,5375682,-,7041,protein_coding,kelch-like 29 [Source:MGI Symbol;Acc:MGI:2683857],-,257,153,1684,654,1137,2.038284814,1.171956639,13.55579106,5.97752559,9.528723402
ENSMUSG00000021136,405.9513817,340.2159506,17.73073554,58.28599926,15.52359231,373.0836662,30.51344237,3.617445568,2.14E-09,6.06E-07,Smoc1,12,81026808,81186414,+,3496,protein_coding,SPARC related  modular calcium binding 1 [Source:MGI Symbol;Acc:MGI:1929878],-,427,372,18,53,15,6.820599375,5.738864531,0.291822118,0.975624023,0.25317944
ENSMUSG00000090667,4.75352906,2.743677021,192.0829683,43.9894334,144.8868615,3.748603041,126.9864211,-5.086743621,2.40E-09,6.72E-07,Gm765,6,98235708,98342754,-,3584,protein_coding,predicted gene 765 [Source:MGI Symbol;Acc:MGI:2685611],-,5,3,195,40,140,0.077905495,0.045144798,3.08378246,0.718240731,2.30498782
ENSMUSG00000039956,197.7468089,289.9152053,45.31187971,52.78732008,57.95474461,243.8310071,52.01798147,2.229833273,2.55E-09,7.02E-07,Mrap,16,90738207,90749785,+,1581,protein_coding,melanocortin 2 receptor accessory protein [Source:MGI Symbol;Acc:MGI:1924287],-,208,317,46,48,56,7.346788793,10.81388756,1.649085167,1.953832851,2.090088892
ENSMUSG00000049265,271.9018622,189.3137145,12.80553122,28.59313171,5.174530769,230.6077883,15.5243979,3.899586257,2.73E-09,7.34E-07,Kcnk3,5,30588170,30625271,+,3976,protein_coding,"potassium channel, subfamily K, member 3 [Source:MGI Symbol;Acc:MGI:1100509]",-,286,207,13,26,5,4.016851229,2.807879246,0.185316505,0.420828372,0.074204839
ENSMUSG00000019970,1979.369501,1801.681244,357.5698333,379.4088631,134.5378,1890.525372,290.5054988,2.702255794,2.73E-09,7.34E-07,Sgk1,10,21882184,21999903,+,4903,protein_coding,serum/glucocorticoid regulated kinase 1 [Source:MGI Symbol;Acc:MGI:1340062],-,2082,1970,363,345,130,23.71291376,21.66999395,4.196254841,4.528300529,1.564552206
